depto_codigo_1,depto_nombre,FREQUENCY,COUNT_evento_id,MAX_magnitud,MEAN_magnitud,MEAN_profundidad_km
05,ANTIOQUIA,407,407,6.6349,4.356324324324322,25.79434889434891
08,ATLÁNTICO,7,7,4.5222,3.9939714285714283,30.914285714285715
11,"BOGOTÁ, D.C.",3,3,5.5,5.206133333333334,13.333333333333334
13,BOLÍVAR,75,75,6.38,4.260230666666667,50.42799999999999
15,BOYACÁ,134,134,6.640000000000001,4.279602238805971,49.50820895522388
17,CALDAS,25,25,6.5251,4.578632,76.392
18,CAQUETÁ,38,38,7.1000000000000005,4.3139315789473685,32.35263157894737
19,CAUCA,59,59,6.7765,4.46993220338983,67.49661016949152
20,CESAR,88,88,5.1433,4.054809090909092,71.80454545454549
23,CÓRDOBA,56,56,5.4,4.25884107142857,28.946428571428577
25,CUNDINAMARCA,105,105,6.5,4.091435238095242,71.7209523809524
27,CHOCÓ,487,487,7.1044,4.361231211498979,42.300205338809064
41,HUILA,81,81,7.2365,4.059748148148148,19.018518518518515
44,LA GUAJIRA,52,52,6.3500000000000005,4.078273076923076,35.434615384615384
47,MAGDALENA,38,38,5.37,4.175305263157894,49.10526315789474
50,META,196,196,7.1000000000000005,4.1814903061224475,16.644081632653062
52,NARIÑO,78,78,6.9748,4.412166666666669,33.421794871794866
54,NORTE DE SANTANDER,131,131,6.5,4.259671755725192,91.13282442748091
63,QUINDÍO,36,36,6.3289,4.341930555555555,75.86666666666667
66,RISARALDA,18,18,5.6969,4.549050000000001,94.38333333333334
68,SANTANDER,4705,4705,6.7702,4.070684314558997,152.66794261424045
70,SUCRE,20,20,6.25,4.211795,43.545
73,TOLIMA,71,71,6.7397,4.244756338028169,35.45774647887324
76,VALLE DEL CAUCA,210,210,7.1981,4.333179523809528,104.25809523809522
81,ARAUCA,49,49,6.0137,4.411387755102042,33.90408163265307
85,CASANARE,73,73,5.34,4.180453424657534,34.486301369863014
86,PUTUMAYO,6,6,6.7,4.554666666666667,27.816666666666663
91,AMAZONAS,2,2,8.0,7.1,339.55
95,GUAVIARE,13,13,6.3,4.427030769230769,18.892307692307693
97,VAUPÉS,1,1,4.5068,4.5068,43.7
99,VICHADA,1,1,3.8544,3.8544,0.0
