depto_codigo,depto_nombre,amenaza_cat,FREQUENCY,COUNT_codigo_habilitacion
05,,,1,1
05,ANTIOQUIA,Alta,253,253
05,ANTIOQUIA,Intermedia,2002,2002
05,VALLE DEL CAUCA,Alta,1,1
08,ATLÁNTICO,Baja,1250,1250
08,BOLÍVAR,Baja,1,1
11,"BOGOTÁ, D.C.",Intermedia,3081,3081
13,"BOGOTÁ, D.C.",Intermedia,1,1
13,BOLÍVAR,Baja,790,790
13,BOLÍVAR,Intermedia,220,220
13,BOLÍVAR,Sin dato,1,1
13,CAUCA,Alta,1,1
13,VALLE DEL CAUCA,Alta,1,1
15,BOYACÁ,Alta,272,272
15,BOYACÁ,Intermedia,313,313
17,CALDAS,Alta,298,298
17,CALDAS,Intermedia,56,56
18,CAQUETÁ,Alta,2,2
18,CAQUETÁ,Baja,10,10
18,CAQUETÁ,Intermedia,98,98
19,CAUCA,Alta,498,498
19,CAUCA,Sin dato,4,4
20,CAQUETÁ,Baja,1,1
20,CESAR,Baja,504,504
20,CESAR,Intermedia,137,137
20,SUCRE,Intermedia,1,1
23,,,2,2
23,BOLÍVAR,Baja,3,3
23,CÓRDOBA,Intermedia,892,892
23,CÓRDOBA,Sin dato,11,11
23,QUINDÍO,Alta,1,1
23,SUCRE,Intermedia,1,1
23,SUCRE,Sin dato,1,1
25,CUNDINAMARCA,Alta,37,37
25,CUNDINAMARCA,Intermedia,778,778
25,CUNDINAMARCA,Sin dato,18,18
27,CHOCÓ,Alta,300,300
27,CHOCÓ,Sin dato,1,1
41,CALDAS,Alta,1,1
41,HUILA,Alta,378,378
44,,,1,1
44,CAQUETÁ,Intermedia,1,1
44,LA GUAJIRA,Baja,34,34
44,LA GUAJIRA,Intermedia,392,392
47,HUILA,Alta,66,66
47,MAGDALENA,Baja,357,357
47,MAGDALENA,Intermedia,308,308
50,META,Alta,430,430
50,META,Baja,31,31
50,META,Intermedia,33,33
50,NARIÑO,Alta,1,1
52,ANTIOQUIA,Intermedia,2,2
52,CUNDINAMARCA,Intermedia,4,4
52,NARIÑO,Alta,803,803
54,NORTE DE SANTANDER,Alta,450,450
54,NORTE DE SANTANDER,Intermedia,103,103
54,SANTANDER,Intermedia,1,1
63,QUINDÍO,Alta,251,251
66,CHOCÓ,Alta,1,1
66,RISARALDA,Alta,369,369
68,NORTE DE SANTANDER,Alta,1,1
68,SANTANDER,Alta,864,864
68,SANTANDER,Intermedia,244,244
70,CAUCA,Alta,3,3
70,SANTANDER,Intermedia,1,1
70,SUCRE,Intermedia,597,597
70,SUCRE,Sin dato,10,10
73,TOLIMA,Alta,104,104
73,TOLIMA,Intermedia,458,458
76,CAUCA,Alta,1,1
76,NARIÑO,Alta,1,1
76,QUINDÍO,Alta,1,1
76,RISARALDA,Alta,2,2
76,VALLE DEL CAUCA,Alta,1934,1934
81,,,1,1
81,ARAUCA,Alta,73,73
81,ARAUCA,Baja,1,1
81,ARAUCA,Intermedia,71,71
85,CASANARE,Alta,157,157
85,CASANARE,Intermedia,55,55
86,CAUCA,Alta,1,1
86,PUTUMAYO,Alta,72,72
86,PUTUMAYO,Baja,3,3
86,PUTUMAYO,Intermedia,48,48
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",Baja,2,2
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",Sin dato,24,24
91,AMAZONAS,Baja,27,27
94,GUAINÍA,Baja,10,10
95,GUAVIARE,Baja,34,34
97,,,1,1
97,VAUPÉS,Baja,55,55
99,VICHADA,Baja,12,12
