depto_codigo,depto_nombre,amenaza_cat,FREQUENCY,COUNT_mpio_dane,MEAN_pga475,MEAN_pga2475
05,ANTIOQUIA,Alta,45,45,214.66666666666666,375.77777777777777
05,ANTIOQUIA,Intermedia,80,80,145.5,254.375
08,ATLÁNTICO,Baja,23,23,96.95652173913044,182.6086956521739
11,"BOGOTÁ, D.C.",Intermedia,1,1,120.0,210.0
13,BOLÍVAR,Baja,22,22,86.81818181818181,161.8181818181818
13,BOLÍVAR,Intermedia,23,23,140.8695652173913,251.30434782608697
13,BOLÍVAR,Sin dato,1,1,190.0,340.0
15,BOYACÁ,Alta,82,82,273.780487804878,480.0
15,BOYACÁ,Intermedia,41,41,196.58536585365854,342.1951219512195
17,CALDAS,Alta,21,21,137.61904761904762,243.33333333333334
17,CALDAS,Intermedia,6,6,168.33333333333334,301.6666666666667
18,CAQUETÁ,Alta,1,1,160.0,300.0
18,CAQUETÁ,Baja,2,2,95.0,180.0
18,CAQUETÁ,Intermedia,13,13,128.46153846153845,237.69230769230768
19,CAUCA,Alta,41,41,176.09756097560975,310.0
19,CAUCA,Sin dato,1,1,140.0,250.0
20,CESAR,Baja,14,14,125.0,228.57142857142858
20,CESAR,Intermedia,11,11,143.63636363636363,233.63636363636363
23,CÓRDOBA,Intermedia,28,28,104.28571428571429,191.07142857142858
23,CÓRDOBA,Sin dato,2,2,115.0,205.0
25,CUNDINAMARCA,Alta,24,24,291.25,515.8333333333334
25,CUNDINAMARCA,Intermedia,91,91,178.46153846153845,311.2087912087912
25,CUNDINAMARCA,Sin dato,1,1,,
27,CHOCÓ,Alta,30,30,285.3333333333333,479.3333333333333
27,CHOCÓ,Sin dato,1,1,,
41,HUILA,Alta,37,37,222.43243243243242,423.7837837837838
44,LA GUAJIRA,Baja,5,5,160.0,282.0
44,LA GUAJIRA,Intermedia,10,10,116.0,209.0
47,MAGDALENA,Baja,29,29,103.44827586206897,194.82758620689654
47,MAGDALENA,Intermedia,1,1,110.0,220.0
50,META,Alta,16,16,288.75,519.375
50,META,Baja,5,5,62.0,130.0
50,META,Intermedia,8,8,106.25,198.75
52,NARIÑO,Alta,63,63,215.87301587301587,372.06349206349205
52,NARIÑO,Sin dato,1,1,200.0,350.0
54,NORTE DE SANTANDER,Alta,31,31,272.5806451612903,466.4516129032258
54,NORTE DE SANTANDER,Intermedia,9,9,165.55555555555554,267.77777777777777
63,QUINDÍO,Alta,12,12,140.0,248.33333333333334
66,RISARALDA,Alta,14,14,137.14285714285714,235.71428571428572
68,SANTANDER,Alta,43,43,185.34883720930233,308.3720930232558
68,SANTANDER,Intermedia,44,44,242.95454545454547,417.27272727272725
70,SUCRE,Intermedia,25,25,120.0,218.8
70,SUCRE,Sin dato,1,1,60.0,120.0
73,TOLIMA,Alta,22,22,152.72727272727272,279.09090909090907
73,TOLIMA,Intermedia,25,25,171.2,307.6
76,VALLE DEL CAUCA,Alta,42,42,143.57142857142858,246.1904761904762
81,ARAUCA,Alta,3,3,330.0,566.6666666666666
81,ARAUCA,Baja,1,1,20.0,40.0
81,ARAUCA,Intermedia,3,3,93.33333333333333,170.0
85,CASANARE,Alta,9,9,356.6666666666667,614.4444444444445
85,CASANARE,Intermedia,10,10,230.0,408.0
86,PUTUMAYO,Alta,7,7,212.85714285714286,397.14285714285717
86,PUTUMAYO,Baja,1,1,60.0,130.0
86,PUTUMAYO,Intermedia,5,5,88.0,166.0
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",Baja,1,1,20.0,30.0
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",Sin dato,1,1,,
91,AMAZONAS,Baja,11,11,2.727272727272727,6.363636363636363
94,GUAINÍA,Baja,8,8,12.5,27.5
95,GUAVIARE,Baja,4,4,60.0,130.0
97,VAUPÉS,Baja,6,6,23.333333333333332,51.666666666666664
99,VICHADA,Baja,4,4,32.5,72.5
