depto_codigo,depto_nombre,amenaza_cat,FREQUENCY,SUM_longitud_km,COUNT_codigo_tramo
05,ANTIOQUIA,Alta,70,726.1603282420319,70
05,ANTIOQUIA,Intermedia,112,1115.2351807328007,112
08,ATLÁNTICO,Baja,44,377.2901860211195,44
11,"BOGOTÁ, D.C.",Intermedia,10,18.6336967790113,10
13,BOLÍVAR,Baja,30,468.03911974841975,30
13,BOLÍVAR,Intermedia,10,163.00246347024444,10
15,BOYACÁ,Alta,55,757.3580916491806,55
15,BOYACÁ,Intermedia,52,868.6074416740307,52
17,CALDAS,Alta,35,326.5155175449248,35
17,CALDAS,Intermedia,8,31.811708825129127,8
18,CAQUETÁ,Alta,2,64.01054483111737,2
18,CAQUETÁ,Baja,8,312.02240825925895,8
18,CAQUETÁ,Intermedia,20,381.2026029245636,20
19,CAUCA,Alta,89,1499.4690568670264,89
20,CESAR,Baja,30,632.1945793254648,30
20,CESAR,Intermedia,38,286.41531813627955,38
23,CÓRDOBA,Intermedia,56,668.3686877802635,56
23,CÓRDOBA,Sin dato,1,5.4801241727058905,1
25,CUNDINAMARCA,Alta,25,309.2584918792959,25
25,CUNDINAMARCA,Intermedia,140,1563.3145501547192,140
25,CUNDINAMARCA,Sin dato,5,27.30330613818912,5
27,CHOCÓ,Alta,20,310.1485437270303,20
41,HUILA,Alta,71,1017.3837610068989,71
44,LA GUAJIRA,Baja,8,78.63291800143965,8
44,LA GUAJIRA,Intermedia,17,319.20058198906946,17
47,MAGDALENA,Baja,56,828.7795601599591,56
47,MAGDALENA,Intermedia,7,192.26830060500293,7
50,META,Alta,44,484.1177660057621,44
50,META,Baja,17,318.65292680963057,17
50,META,Intermedia,23,553.6264957243218,23
52,NARIÑO,Alta,54,776.0355658836909,54
52,NARIÑO,Sin dato,1,7.362598624488709,1
54,NORTE DE SANTANDER,Alta,57,907.9630127308205,57
54,NORTE DE SANTANDER,Intermedia,6,94.31803858806758,6
63,QUINDÍO,Alta,27,160.84879366510611,27
66,RISARALDA,Alta,43,323.2573577468773,43
68,SANTANDER,Alta,67,979.6232406689164,67
68,SANTANDER,Intermedia,34,580.8160993717711,34
70,SUCRE,Intermedia,32,402.5151119449978,32
70,SUCRE,Sin dato,3,13.749655709653176,3
73,TOLIMA,Alta,53,431.20844999155645,53
73,TOLIMA,Intermedia,55,631.0681774102919,55
76,VALLE DEL CAUCA,Alta,110,1105.6318862911423,110
81,ARAUCA,Alta,7,204.9665057462639,7
81,ARAUCA,Intermedia,3,126.2601232669382,3
85,CASANARE,Alta,21,381.55363295585005,21
85,CASANARE,Intermedia,11,216.2021035811112,11
86,PUTUMAYO,Alta,14,235.04603417899156,14
86,PUTUMAYO,Intermedia,6,90.74463172340126,6
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",Baja,1,17.41378106456064,1
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",Sin dato,1,26.893453684858727,1
91,AMAZONAS,Baja,1,20.118449743711523,1
95,GUAVIARE,Baja,6,106.3817517831068,6
99,VICHADA,Baja,1,96.49963539935969,1
