depto_codigo,depto_nombre,amenaza_cat,FREQUENCY,COUNT_cod_dane
05,ANTIOQUIA,Alta,1760,1760
05,ANTIOQUIA,Intermedia,4329,4329
08,ATLÁNTICO,Baja,1500,1500
11,"BOGOTÁ, D.C.",Intermedia,2590,2590
13,BOLÍVAR,Alta,3,3
13,BOLÍVAR,Baja,950,950
13,BOLÍVAR,Intermedia,1050,1050
13,BOLÍVAR,Sin dato,4,4
15,BOYACÁ,Alta,1476,1476
15,BOYACÁ,Intermedia,1021,1021
17,CALDAS,Alta,949,949
17,CALDAS,Intermedia,342,342
18,CAQUETÁ,Alta,60,60
18,CAQUETÁ,Baja,334,334
18,CAQUETÁ,Intermedia,1056,1056
19,CAUCA,Alta,2803,2803
20,CESAR,Baja,1180,1180
20,CESAR,Intermedia,419,419
23,CÓRDOBA,Intermedia,2197,2197
23,CÓRDOBA,Sin dato,6,6
25,CUNDINAMARCA,Alta,588,588
25,CUNDINAMARCA,Intermedia,3081,3081
25,CUNDINAMARCA,Sin dato,54,54
27,CHOCÓ,Alta,1204,1204
27,CHOCÓ,Sin dato,98,98
41,HUILA,Alta,2001,2001
44,LA GUAJIRA,Baja,101,101
44,LA GUAJIRA,Intermedia,1701,1701
47,MAGDALENA,Baja,1184,1184
47,MAGDALENA,Intermedia,490,490
50,META,Alta,785,785
50,META,Baja,363,363
50,META,Intermedia,231,231
52,NARIÑO,Alta,3044,3044
52,NARIÑO,Sin dato,4,4
54,NORTE DE SANTANDER,Alta,1720,1720
54,NORTE DE SANTANDER,Intermedia,903,903
63,QUINDÍO,Alta,417,417
66,RISARALDA,Alta,1166,1166
68,SANTANDER,Alta,1707,1707
68,SANTANDER,Intermedia,1628,1628
70,SUCRE,Intermedia,1036,1036
70,SUCRE,Sin dato,17,17
73,TOLIMA,Alta,1199,1199
73,TOLIMA,Intermedia,1283,1283
76,VALLE DEL CAUCA,Alta,3440,3440
81,ARAUCA,Alta,281,281
81,ARAUCA,Baja,13,13
81,ARAUCA,Intermedia,232,232
85,CASANARE,Alta,293,293
85,CASANARE,Intermedia,374,374
86,PUTUMAYO,Alta,328,328
86,PUTUMAYO,Baja,99,99
86,PUTUMAYO,Intermedia,550,550
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",Baja,5,5
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",Sin dato,29,29
91,AMAZONAS,Baja,141,141
94,GUAINÍA,Baja,104,104
95,GUAVIARE,Baja,258,258
97,VAUPÉS,Baja,131,131
99,VICHADA,Baja,270,270
